Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,BAJAJFINSV,EQ,518.4,521.8,528.95,517.1,521.1,521.05,522.81,113360,5926609465000.0,4155.0,34098,0.3008,0.005098861400371398,0.023055899203504777,0.02131734499084063,0.04893908281998608,0.05452227236850082,0.01615948077478127,64.36107847588471,-1.7578253738546437,-5.178938918647234,3.4211135447925907,1.028997950114473,0.036286619052188565,0.7878024058689896,-0.0033664237485893367,0.3008,512.45,-0.016505133864312273,0
2011-06-02,BAJAJFINSV,EQ,521.05,518.8,519.85,504.0,514.95,512.45,513.71,62967,3234649945000.0,2437.0,21069,0.3346,-0.01664286116086438,0.021530616858776674,0.020818235168939457,0.030360912838041664,0.03409308754830451,-0.0009299568944508194,61.34078205893702,-0.6723604809291714,-4.277623231103622,3.6052627501744503,0.8223110187687562,0.03761342570006829,0.4384081065847941,-0.002452745712561544,0.3346,508.4,-0.007903210069275184,0
2011-06-03,BAJAJFINSV,EQ,512.45,512.5,520.0,506.0,507.1,508.4,513.11,36445,1870040225000.0,1754.0,10702,0.2936,-0.007934605962273106,0.02039359977165968,0.020953601944624912,0.01963458414392014,0.02357607360728027,-0.008030968789267259,55.006031301159275,-0.13733971888296992,-3.4495665286594916,3.3122268097765217,0.721967513726115,0.03627627290097785,0.2559664339475434,-0.009179318274833927,0.2936,502.25,-0.012096774193548343,0
2011-06-06,BAJAJFINSV,EQ,508.4,508.0,508.0,496.0,502.25,502.25,501.92,33537,1683281264999.9998,1346.0,14215,0.4239,-0.012170535620255179,0.01898159141232558,0.02118063916116047,0.0036368722898308457,0.00979130644577599,-0.01888583718486165,52.10181251604895,-0.20719707375974394,-2.801092637679542,2.5938955639197983,0.5929691313335042,0.034224560904501156,0.23795856709731716,0.0006574752948676763,0.4239,545.5,0.08611249377799901,1
2011-06-07,BAJAJFINSV,EQ,502.25,503.0,552.0,503.0,546.5,545.5,536.79,1237385,66421123965000.0,36245.0,216387,0.1749,0.08260480157808162,0.03144268601545309,0.027871348688960306,0.07821240092502926,0.09042207629956127,0.06448371076484756,58.08302390731273,3.190575050752898,-1.6027590999930545,4.793334150745952,1.1760962024879187,0.03301689144952205,6.1798830232946464,0.016226084688612002,0.1749,560.75,0.027956003666361137,1
2011-06-08,BAJAJFINSV,EQ,545.5,541.0,564.55,533.7,557.3,560.75,551.83,1165795,64332341804999.99,33473.0,156834,0.1345,0.02757236812719214,0.031003416850535405,0.028280106510080307,0.0922070080442532,0.11289178206572176,0.09241552895704754,68.35357618374155,7.032811614963634,0.12435504299828315,6.908456571965351,1.169158936714329,0.032832303674925144,4.548514674172727,0.01616439845604617,0.1345,564.2,0.006152474364690228,1
2011-06-09,BAJAJFINSV,EQ,560.75,559.75,574.4,545.2,563.0,564.2,564.84,1072031,60552451715000.0,30766.0,206425,0.1926,0.006133625167578197,0.030595806709350373,0.0280329623615099,0.08216970998925892,0.11093061606241854,0.09710187763483379,74.23812891287501,10.238178591311453,2.147119752660917,8.091058838650536,1.0720190472501085,0.03424570820884182,3.47908673368788,-0.0011330642305785467,0.1926,560.9,-0.005848989719957582,0
2011-06-10,BAJAJFINSV,EQ,564.2,567.1,573.45,555.6,557.8,560.9,565.45,540701,30573935520000.0,17541.0,99708,0.1844,-0.0058661620536048405,0.031169390101949437,0.028059773129788006,0.060783720402450996,0.0959198526789857,0.08877315511280821,78.96720685220194,12.369583731284024,4.191612548385539,8.177971182898485,0.9629822095574726,0.034752820721799124,1.622826618389091,-0.00804668847820332,0.1844,550.65,-0.018274202175075773,0
2011-06-13,BAJAJFINSV,EQ,560.9,564.05,565.6,546.05,550.5,550.65,555.53,165282,9181929570000.0,5048.0,36326,0.2198,-0.018443237903338273,0.032832071303965885,0.028179495212924052,0.03030189632429307,0.07017398951495761,0.06745112483159019,72.04104060032431,13.080860308398996,5.969462100388231,7.111398208010765,0.8272201568193679,0.03528946310204822,0.4922344756521256,-0.008784404082587792,0.2198,552.5,0.0033596658494506907,1
2011-06-14,BAJAJFINSV,EQ,550.65,552.45,568.9,551.0,552.0,552.5,560.41,205216,11500419940000.0,7752.0,53860,0.2625,0.00335403478095504,0.030028576247708938,0.0281710958354271,0.02720942987552637,0.06798884652372049,0.06986768496124275,74.87850459451968,13.636636996356401,7.5028970795818655,6.133739916774536,0.8085563208041365,0.03578539107950871,0.6345871585591036,-0.014114666048071892,0.2625,548.15,-0.007873303167420855,0
