Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,POWERGRID,EQ,101.05,100.55,101.25,99.85,100.65,100.65,100.43,1009666,10140242395000.0,14370.0,533814,0.5287,-0.003966291763829436,0.01825993413936294,0.015783942274740594,0.01748887990295192,0.0011189854531892217,-0.013090160317693717,47.7876102247631,-0.975031518668203,-0.994077825881892,0.01904630721368894,0.5130052194434572,0.022390178127883083,0.44692773534506525,0.0021905805038335046,0.5287,99.25,-0.013909587680079539,0
2011-06-02,POWERGRID,EQ,100.65,100.0,101.2,99.0,99.6,99.25,100.24,2509352,25153475105000.0,14492.0,1736491,0.6920000000000001,-0.014007232518500763,0.016919368378832917,0.015208576523515782,0.002930476960387955,-0.011528023305031984,-0.027170610260532094,44.26229474334858,-0.9406721237218676,-0.9833966854498872,0.04272456172801964,0.3658862700072101,0.02310183519251533,1.1211424666521934,-0.00987629688747002,0.6920000000000001,101.0,0.017632241813602016,1
2011-06-03,POWERGRID,EQ,99.25,99.25,101.9,99.25,101.2,101.0,101.14,3177797,32139726225000.0,13746.0,2284550,0.7189,0.017478597273959763,0.016399652992104663,0.0154981828565862,0.02061438965238472,0.006953964258119241,-0.010725304863117674,47.9591833309038,-0.7634313200035621,-0.9394036123606222,0.17597229235706013,0.5842783338716534,0.023939179632248977,1.3736032268683867,-0.0013842198932173281,0.7189,101.5,0.0049504950495049506,1
2011-06-06,POWERGRID,EQ,101.0,100.8,101.75,99.7,101.6,101.5,100.99,2762043,27893394770000.0,9386.0,1576879,0.5709000000000001,0.004938281640582577,0.015685734194971847,0.015538107602359508,0.023701462430660555,0.01254457939496728,-0.006616035076730366,49.999999646464644,-0.5759813305376156,-0.8667191559960209,0.2907378254584053,0.6562127969558442,0.02445460942997892,1.1727040774247721,0.005050004950985297,0.5709000000000001,101.45,-0.0004926108374383956,0
2011-06-07,POWERGRID,EQ,101.5,101.15,101.7,100.85,101.5,101.45,101.4,3665290,37166954565000.0,12641.0,2753682,0.7513,-0.0004927322100181951,0.01533056607825438,0.015523866663315565,0.020469748025951928,0.012500311884029018,-0.00778514562916893,50.253806749465355,-0.42654351736015883,-0.7786840282688485,0.3521405109086897,0.6587420186001253,0.02379778919946493,1.4645700291686043,0.0004930966469427727,0.7513,101.35,-0.0009857072449483343,0
2011-06-08,POWERGRID,EQ,101.45,100.55,101.5,100.35,101.15,101.35,101.05,7966636,80505606090000.0,15082.0,7339047,0.9212,-0.0009861933738147428,0.013658251451980075,0.014943080767109389,0.015073363713756277,0.012917572395872271,-0.009383246994428775,57.22543306291556,-0.3125789227925395,-0.6854630071735868,0.37288408438104725,0.6829931333871632,0.022094580308689857,2.891216012211082,0.0029688273132112536,0.9212,101.5,0.001480019733596504,1
2011-06-09,POWERGRID,EQ,101.35,101.0,101.85,100.9,101.7,101.5,101.34,3931404,39839927995000.0,9319.0,3567166,0.9074,0.0014789255838329929,0.011839260993862254,0.013699486033742079,0.0105535643170052,0.014366021236727046,-0.008382344320912914,51.633986455636716,-0.20776245784304592,-0.5899228973074786,0.3821604394644327,0.7030464866996117,0.0204433497536946,1.360272801647379,0.0015788434971383124,0.9074,101.2,-0.002955665024630514,0
2011-06-10,POWERGRID,EQ,101.5,101.5,101.8,100.5,101.1,101.2,101.01,4309633,43531230320000.0,4973.0,4013966,0.9314,-0.002960041628476827,0.01072411627330947,0.01371572265702863,0.004018056451212869,0.011443705961721156,-0.011583614947356151,55.63380226839916,-0.1472052564399604,-0.501379369133975,0.35417411269401455,0.6622289657216435,0.020009881422924918,1.4316214167674903,0.0018810018810018585,0.9314,102.55,0.013339920948616545,1
2011-06-13,POWERGRID,EQ,101.2,101.0,103.0,100.55,102.55,102.55,101.76,1602800,16310538360000.0,9171.0,1026428,0.6404000000000001,0.013251727665024316,0.010674707068933236,0.014006947290466094,0.013840830449826905,0.02455228913255235,0.0012986125350283211,62.71186381154841,0.009609704846681666,-0.39918155433784364,0.4087912591845253,0.8392689321546837,0.01936337675001743,0.5314151813726163,0.007763364779874135,0.6404000000000001,103.7,0.011214041930765537,1
2011-06-14,POWERGRID,EQ,102.55,102.15,104.0,102.15,103.9,103.7,103.12,2508049,25864246905000.0,11153.0,1419391,0.5659000000000001,0.01115163071709213,0.009350826638151016,0.014184960170647262,0.022531183749938337,0.034904318754522115,0.012171434706645832,73.49823248835672,0.22409880893339107,-0.2745254816835967,0.49862429061698776,0.9457831415663336,0.018356522937043682,0.8132308781882064,0.00562451512800619,0.5659000000000001,101.8,-0.018322082931533323,0
2011-06-15,POWERGRID,EQ,103.7,103.75,103.85,101.35,101.55,101.8,102.37,1424871,14586953119999.998,14427.0,886519,0.6222,-0.018492011119059376,0.01138844193158663,0.014840955963670355,0.002659312518467409,0.015714642055375434,-0.005781701695445083,71.47766254248296,0.23802504365734478,-0.1720153766154084,0.41004042027275317,0.6990843907905251,0.018418467583497064,0.4653292524563144,-0.00556803751098962,0.6222,102.0,0.0019646365422397137,1
2011-06-16,POWERGRID,EQ,101.8,101.6,102.5,100.85,102.45,102.0,101.62,1390929,14135279975000.0,7581.0,1005213,0.7227,0.001962709167848689,0.010072672044694152,0.013604644755024247,0.0019154265507588762,0.016113366373620826,-0.003068983716793609,67.19367514568262,0.2621777911629408,-0.08517674305973855,0.34735453422267937,0.703413853660084,0.017857142857142867,0.45449587658725366,0.003739421373745281,0.7227,102.7,0.006862745098039243,1
2011-06-17,POWERGRID,EQ,102.0,101.6,103.0,101.55,103.0,102.7,102.42,1419955,14543519560000.0,11721.0,985754,0.6942,0.006839303650241441,0.0088269790642359,0.012846683116133972,0.007109585682765467,0.022221116281384543,0.004263474927638338,65.41666590347222,0.33395355868255194,-0.0013506827112804431,0.3353042413938324,0.7721132148425911,0.01728334956183059,0.46158480902257715,0.002733841046670583,0.6942,101.95,-0.007302823758519961,0
2011-06-20,POWERGRID,EQ,102.7,102.05,103.7,99.05,102.0,101.95,101.82,3484387,35479535800000.0,20031.0,2440729,0.7005,-0.0073296199140483855,0.00916806521221037,0.012526465426662498,-0.0006861399725543343,0.013570611920266389,-0.002465705172110228,54.2056067674033,0.326553335985011,0.06423012102797786,0.26232321495703315,0.665172481121695,0.01898689833952219,1.0879156116035573,0.0012767629149480423,0.7005,101.35,-0.005885237861696994,0
2011-06-21,POWERGRID,EQ,101.95,101.8,102.45,100.4,101.5,101.35,101.35,2883693,29224988535000.004,11196.0,2286834,0.793,-0.005902624122455265,0.009386388592337574,0.012451723253252727,-0.006469953926085783,0.006329899466302481,-0.007637324977969266,53.21100849086772,0.26917078730761546,0.10521825428390538,0.16395253302371007,0.5785714531670534,0.0195574036225245,0.9395502974959282,0.0,0.793,102.3,0.009373458312777532,1
2011-06-22,POWERGRID,EQ,101.35,101.35,102.4,101.05,102.4,102.3,101.94,1354940,13812769550000.0,10272.0,931441,0.6874,0.009329800059571833,0.009834203068091895,0.011714173303679428,0.0019097987365947545,0.013122059915820777,0.002174807500147029,64.59330057004185,0.29692895244859585,0.1435603939168435,0.15336855853175235,0.6778614138625624,0.018782292975841375,0.45541608487906454,0.0035314891112419016,0.6874,102.25,-0.0004887585532746546,0
2011-06-23,POWERGRID,EQ,102.3,102.05,102.8,101.8,102.5,102.25,102.25,2107427,21549378955000.0,13956.0,1582114,0.7506999999999999,-0.00048887803466967,0.009841749779303622,0.010939915239833294,0.0006850655705618261,0.009278452275194924,0.0020776573433427085,57.142856228571425,0.3113043929157584,0.17710919371662648,0.13419519919913192,0.6710731724111317,0.017638840377226694,0.7163891498790511,0.0,0.7506999999999999,103.65,0.013691931540342353,1
2011-06-24,POWERGRID,EQ,102.25,102.0,104.15,101.8,103.55,103.65,103.41,3192281,33011632305000.0,21807.0,2497668,0.7824,0.013599043958877486,0.010520406525931442,0.010357093876232171,0.011959970710275896,0.020076764098022053,0.016116699017704895,61.13989548605332,0.430700485670215,0.22782745210734417,0.20287303356287084,0.934862882592493,0.017607332368548015,1.0731129845645477,0.0023208587177256466,0.7824,108.35,0.045344910757356374,1
2011-06-27,POWERGRID,EQ,103.65,102.25,109.35,102.25,108.9,108.35,107.52,16801536,180652197240000.0,47427.0,13526759,0.8051,0.04434688910057945,0.016805065308085433,0.013739703964256476,0.05189068491820784,0.06144840929685772,0.061505603887452055,74.1258734001662,0.894264940270773,0.36111494974003,0.533149990530743,1.379671181420575,0.02096380776583823,4.686408888278459,0.007719494047619032,0.8051,109.1,0.00692201199815413,1
2011-06-28,POWERGRID,EQ,108.35,109.4,109.9,108.1,109.2,109.1,108.95,7803161,85014211810000.0,40150.0,6155212,0.7888,0.006898164856657067,0.01669966911284462,0.013234311861865215,0.05364817229224002,0.0645979703356753,0.0678281295879416,75.91973173051754,1.3070944709091492,0.5503108539738539,0.7567836169352953,1.2026849841836218,0.021245253371742844,2.0723917198995774,0.001376778338687393,0.7888,110.1,0.00916590284142988,1
2011-06-29,POWERGRID,EQ,109.1,109.3,110.5,108.9,110.0,110.1,109.59,7512954,82336799920000.0,36094.0,5755109,0.766,0.009124150889609193,0.014508872121202306,0.013151758641059684,0.05485029940119755,0.06942522036861638,0.07621477376030011,77.21518918923246,1.6954128271539304,0.7793312486098692,0.9160815785440611,1.124309684857815,0.021473984689243563,1.836702887640738,0.004653709280043716,0.766,109.5,-0.0054495912806539,0
2011-06-30,POWERGRID,EQ,110.1,110.0,111.5,108.05,109.8,109.5,109.86,17118433,188066629080000.0,31219.0,14228368,0.8312,-0.0054644944720787375,0.015024002049860213,0.012648597033456893,0.041617122473246136,0.05832890349393511,0.06925240215608139,75.77639685660274,1.9324666637883894,1.0099583316455734,0.922508332142816,0.990788893982862,0.02299412915851274,3.5508710236599503,-0.0032768978700163792,0.8312,110.25,0.00684931506849315,1
2011-07-01,POWERGRID,EQ,109.5,110.0,110.75,109.4,110.05,110.25,110.06,13473977,148299137995000.0,28688.0,12069068,0.8956999999999999,0.006825965070399891,0.015024027882610832,0.012311459167489313,0.04127313940309789,0.060835678718337206,0.07538943240896986,74.8387090014568,2.155999251877617,1.2391665156919822,0.9168327361856348,0.9696202366885399,0.022125040492387445,2.525240665976102,0.001726331092131544,0.8956999999999999,110.45,0.0018140589569161255,1
2011-07-04,POWERGRID,EQ,110.25,110.35,111.4,109.7,110.4,110.45,110.43,2985201,32965350575000.0,12771.0,2322995,0.7782,0.0018124155391709262,0.014310028714721468,0.0123238539474934,0.03485430525625423,0.058203592814371284,0.07610167675055297,73.19587558436956,2.3225162453734356,1.455836461628273,0.8666797837451625,0.9204749784545841,0.02198797128629634,0.5583073119951664,0.00018111020556004726,0.7782,109.6,-0.007695789950203789,0
2011-07-05,POWERGRID,EQ,110.45,110.0,110.35,108.0,109.05,109.6,109.38,5999533,65620249254999.99,18411.0,4660670,0.7768,-0.0077255553522111225,0.014517037679426378,0.012573188315474942,0.01901352796243784,0.04597618877198001,0.0667185751131441,78.88888807078186,2.3587045879086332,1.6364100868843452,0.722294501024288,0.8235249991159339,0.022125912408759142,1.0980935611932794,0.002011336624611436,0.7768,109.05,-0.005018248175182456,0
2011-07-06,POWERGRID,EQ,109.6,109.25,109.7,108.55,109.05,109.05,109.2,1839396,20085587075000.0,15795.0,1132206,0.6154999999999999,-0.005030881866277096,0.01505215875746659,0.012687310860955302,0.007576457544119074,0.03691729859509837,0.06039537529536459,75.45126277522186,2.3163028096908107,1.7723886314456385,0.5439141782451722,0.7590351255636799,0.02191000196502262,0.35666369607859033,-0.0013736263736264256,0.6154999999999999,109.95,0.008253094910591525,1
2011-07-07,POWERGRID,EQ,109.05,109.5,110.3,108.45,109.9,109.95,109.71,3294513,36144022215000.0,22369.0,2347792,0.7126,0.008219224353132108,0.01486067473506021,0.012715778010801282,0.008715596330275256,0.04129178899517013,0.06792155948599911,75.80071098846264,2.3284803018598694,1.8836069655284848,0.4448733363313846,0.7877544518700672,0.021990515169232783,0.6427837121142601,0.0021875854525568233,0.7126,109.2,-0.0068212824010914054,0
2011-07-08,POWERGRID,EQ,109.95,109.25,110.75,108.85,108.95,109.2,109.96,7101951,78093088310000.0,10966.0,6208595,0.8742000000000001,-0.006844653689965484,0.015291756338960212,0.012856548957323926,-0.003240381543516862,0.03028587602604013,0.05967976710334794,75.80071098846264,2.2516566241933305,1.9572168972614539,0.2944397269318766,0.715621927521479,0.02034275248560964,1.348898742029282,-0.006911604219716178,0.8742000000000001,108.0,-0.010989010989011014,0
