ticker,start_date,end_date,trading_days
ADANIPORTS,2007-11-27,2021-04-30,3322
ASIANPAINT,2000-01-03,2021-04-30,5306
AXISBANK,2000-01-03,2021-04-30,5306
BAJAJ-AUTO,2008-05-26,2021-04-30,3202
BAJAJFINSV,2008-05-26,2021-04-30,3201
BAJFINANCE,2000-01-03,2021-04-30,5235
BHARTIARTL,2002-02-18,2021-04-30,4774
BPCL,2000-01-03,2021-04-30,5306
BRITANNIA,2000-01-03,2021-04-30,5305
CIPLA,2000-01-03,2021-04-30,5306
COALINDIA,2010-11-04,2021-04-30,2598
DRREDDY,2000-01-03,2021-04-30,5306
EICHERMOT,2000-01-03,2021-04-30,5301
GAIL,2000-01-03,2021-04-30,4985
GRASIM,2000-01-03,2021-04-30,5306
HCLTECH,2000-01-11,2021-04-30,5300
HDFC,2000-01-03,2021-04-30,5306
HDFCBANK,2000-01-03,2021-04-30,5306
HEROMOTOCO,2000-01-03,2021-04-30,5306
HINDALCO,2000-01-03,2021-04-30,5306
HINDUNILVR,2000-01-03,2021-04-30,5306
ICICIBANK,2000-01-03,2021-04-30,5306
INDUSINDBK,2000-01-03,2021-04-30,4985
INFY,2000-01-03,2021-04-30,5306
IOC,2000-01-03,2021-04-30,5306
ITC,2000-01-03,2021-04-30,5306
JSWSTEEL,2005-03-23,2021-04-30,3994
KOTAKBANK,2000-01-03,2021-04-30,4985
LT,2004-06-23,2021-04-30,4184
MARUTI,2003-07-09,2021-04-30,4427
MM,2000-01-03,2021-04-30,5306
NESTLEIND,2010-01-08,2021-04-30,2806
NIFTY50_ALL,2000-01-03,2021-04-30,235192
NTPC,2004-11-05,2021-04-30,4088
ONGC,2000-01-03,2021-04-30,5306
POWERGRID,2007-10-05,2021-04-30,3359
RELIANCE,2000-01-03,2021-04-30,5306
SBIN,2000-01-03,2021-04-30,5306
SHREECEM,2000-01-03,2021-04-30,4985
SUNPHARMA,2000-01-03,2021-04-30,5306
TATAMOTORS,2000-01-03,2021-04-30,5306
TATASTEEL,2000-01-03,2021-04-30,5306
TCS,2004-08-25,2021-04-30,4139
TECHM,2006-08-28,2021-04-30,3635
TITAN,2000-01-03,2021-04-30,5306
ULTRACEMCO,2004-08-24,2021-04-30,4140
UPL,2004-01-23,2021-04-30,4287
VEDL,2000-01-03,2021-04-30,5305
WIPRO,2000-01-03,2021-04-30,5306
ZEEL,2000-01-03,2021-04-30,5306
