Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,DRREDDY,EQ,1615.85,1614.05,1620.0,1600.05,1610.05,1610.45,1608.98,169533,27277491725000.0,12359.0,120391.0,0.7101000000000001,-0.00334749096027151,0.012311331359029103,0.014541781386264423,0.020311836745037778,0.011400193745201457,-0.0006596285602411365,52.10321665855622,-9.886394713807022,-11.73500853625759,1.8486138224505684,0.6659532748076428,0.026948989412897032,0.7084674423327524,0.0009136222948700588,0.7101000000000001,1606.85,-0.0022354000434661966,0
2011-06-02,DRREDDY,EQ,1610.45,1599.0,1631.0,1599.0,1606.05,1606.85,1617.61,156615,25334195910000.0,11904.0,68737.0,0.4389,-0.0022379022798384033,0.012212352517402937,0.014215290890542704,0.017537860438019026,0.008290781310053173,-0.004089378771426137,40.40274204945847,-7.7617183559468685,-10.940350500195446,3.178632144248578,0.6206811617254119,0.02489120239688122,0.6550004663189841,-0.006651788750069542,0.4389,1575.35,-0.019603572206490963,0
2011-06-03,DRREDDY,EQ,1606.85,1619.9,1619.9,1570.0,1575.5,1575.35,1585.98,332804,52782008565000.0,13602.0,223454.0,0.6714,-0.0197982709562894,0.013782074186101756,0.01442391940011671,-0.0007928453634403147,-0.01051137345053821,-0.024119037220813034,40.69039911242001,-8.521453763823047,-10.456571152920967,1.93511738909792,0.34780282740521046,0.02432339298749939,1.3330273175189915,-0.00670248048525209,0.6714,1607.4,0.020344685308026904,1
2011-06-06,DRREDDY,EQ,1575.35,1565.0,1614.4,1560.05,1612.5,1607.4,1588.12,150904,23965303975000.0,9018.0,55371.0,0.3669,0.02014049698436317,0.013279579925553868,0.01511615486175307,0.016865518681124084,0.009291395687247695,-0.004888268156424555,45.76839610807825,-6.462882316844798,-9.657833385705734,3.194951068860936,0.6336279919104444,0.024913791571126408,0.597470182712522,0.01214014054353588,0.3669,1604.1,-0.0020530048525570373,0
2011-06-07,DRREDDY,EQ,1607.4,1605.1,1619.0,1587.6,1600.0,1604.1,1601.89,188032,30120588280000.0,9867.0,106152.0,0.5645,-0.002055115155822553,0.013130664421145181,0.015113838151794293,0.011849380091653617,0.006879495838407194,-0.007692992918190593,53.54258016387737,-5.039638222296844,-8.734194353023955,3.6945561307271113,0.5985487090290341,0.023375368475424606,0.7311090533807074,0.0013796203234927547,0.5645,1577.45,-0.01661367745153037,0
2011-06-08,DRREDDY,EQ,1604.1,1605.0,1606.0,1571.1,1575.45,1577.45,1588.19,148232,23542074495000.0,8594.0,77490.0,0.5228,-0.01675323243082495,0.014084430170083317,0.015562866989379944,-0.007053136143467227,-0.009181457444486533,-0.024532471885238112,45.329611310516874,-5.9930550915562435,-8.185966500730414,2.1929114091741706,0.36940619463765106,0.023541611008725677,0.582881455237503,-0.006762415076281811,0.5228,1563.6,-0.008779993026720426,0
2011-06-09,DRREDDY,EQ,1577.45,1588.0,1588.0,1560.0,1564.0,1563.6,1569.74,111030,17428768065000.0,6608.0,46937.0,0.4227,-0.008818764273170892,0.01447565323793471,0.01566804220438623,-0.016603773584905716,-0.016801649982393498,-0.03326146889106387,42.387755077819214,-7.776580500901218,-8.104089300764576,0.3275087998633577,0.2667614197555115,0.0232019515404013,0.4494841437717541,-0.003911475785798986,0.4227,1562.1,-0.0009593246354566386,0
2011-06-10,DRREDDY,EQ,1563.6,1570.0,1575.65,1549.0,1557.25,1562.1,1561.87,206754,32292338655000.0,17126.0,94680.0,0.4579,-0.0009597850818366922,0.014367575995732603,0.013507133717206172,-0.017707796209424927,-0.014971537211293233,-0.03375516725419095,49.07844987301045,-9.204965587984589,-8.32426455820858,-0.8807010297760094,0.2659409709909672,0.02234857837892217,0.9352293280433353,0.0001472593749800036,0.4579,1536.7,-0.01626016260162593,0
2011-06-13,DRREDDY,EQ,1562.1,1554.95,1558.5,1531.95,1535.0,1536.7,1539.0,256855,39529879545000.0,11421.0,176614.0,0.6876000000000001,-0.016393809775676272,0.01449140374570187,0.013268431411854176,-0.031075325428676727,-0.028482648201915286,-0.04831620649315009,45.28013949710394,-12.245381646662736,-9.108487975899411,-3.1368936707633246,0.0732161408785643,0.02241816880327976,1.207211449885076,-0.0014944769330733948,0.6876000000000001,1554.9,0.011843560877204428,1
2011-06-14,DRREDDY,EQ,1536.7,1545.0,1579.9,1545.0,1554.0,1554.9,1559.98,522777,81552155905000.0,24961.0,365547.0,0.6992,0.011773974802483987,0.012635730411095206,0.01351317602929695,-0.015817556918519507,-0.014673126095097919,-0.03604015786400053,52.32583062239824,-13.036073639682172,-9.894005108655964,-3.142068531026208,0.2643190461759359,0.022624330457631642,2.302231364614217,-0.0032564520057948992,0.6992,1555.6,0.00045018972281163935,1
2011-06-15,DRREDDY,EQ,1554.9,1532.0,1575.0,1523.1,1553.9,1555.6,1553.4,1176253,182718846600000.0,16676.0,997193.0,0.8478,0.00045008841782165186,0.012709196927777035,0.01242680442324686,-0.011944194791048088,-0.01319305568551073,-0.03486066405755588,51.19596222441324,-13.451161968803717,-10.605436480685515,-2.8457254881182017,0.29134090328494666,0.023206479814862447,4.364176776442508,0.0014162482296895956,0.8478,1549.55,-0.0038891745950115422,0
2011-06-16,DRREDDY,EQ,1555.6,1545.1,1558.55,1535.5,1550.0,1549.55,1552.32,346200,53741243170000.01,11609.0,277139.0,0.8005,-0.0038967571007041163,0.012702221480090157,0.01230914122099069,-0.01219181793551883,-0.015480505618156148,-0.03766373783067414,47.78445777470573,-14.105705110208874,-11.305490206590187,-2.800214903618686,0.25634836365617386,0.02330630551727001,1.276642349493887,-0.001784425891568737,0.8005,1553.35,0.0024523248685101836,1
2011-06-17,DRREDDY,EQ,1549.55,1537.0,1557.35,1537.0,1550.0,1553.35,1553.14,199595,30999911615000.0,6615.0,167076.0,0.8371,0.002449322826865756,0.0114417230327521,0.012328683646421007,-0.008378684626310666,-0.011573061412788433,-0.03427219305727919,43.738003809389014,-14.154641131421613,-11.875320391556473,-2.27932073986514,0.3148330519171523,0.02251355365592339,0.727576079352954,0.00013520996175477354,0.8371,1516.1,-0.023980429394534396,0
