Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,TITAN,EQ,4407.95,4380.0,4396.0,4271.0,4300.0,4309.55,4307.39,351152,151255000945000.0,27244.0,72552.0,0.2066,-0.02257623846151991,0.01997257619975424,0.016095322571303368,0.012519192296532254,0.04672055047219702,0.09043372165430252,69.11384707941842,113.98609912412303,98.14011216473857,15.845986959384462,0.7922681562460377,0.02974042699188015,1.086287351452216,0.0005014637634390789,0.2066,4312.05,0.0005801069717255862,1
2011-06-02,TITAN,EQ,4309.55,4305.0,4349.9,4265.1,4306.2,4312.05,4314.16,262297,113159149150000.0,22171.0,40348.0,0.1538,0.0005799387747212066,0.019940749826687094,0.015829208272408305,0.008657228938208816,0.042200535475072486,0.08620164575777943,67.70673305135463,112.11257004374784,100.93460374054044,11.177966303207398,0.76909454083692,0.02959480658023113,0.8374437081652226,-0.0004890870992266565,0.1538,4332.1,0.004649760554724593,1
2011-06-03,TITAN,EQ,4312.05,4305.0,4369.0,4294.4,4325.0,4332.1,4333.84,180555,78249678545000.0,18387.0,35518.0,0.1967,0.004638983811388345,0.01994021283351079,0.01573166169791161,0.008835255323509256,0.04230475883424318,0.0864633849976715,66.74848632592072,110.96649945321224,102.94098288307481,8.025516570137427,0.7715972282722297,0.029245136802672395,0.5828288933739764,-0.00040149151791477804,0.1967,4368.85,0.008483183675353754,1
2011-06-06,TITAN,EQ,4332.1,4265.6,4384.85,4265.6,4370.0,4368.85,4355.41,177217,77185312915000.0,15567.0,27403.0,0.1546,0.008447403682481033,0.01935237759430446,0.015657861130022915,0.013894239471986597,0.045812417563740986,0.09071494837587996,64.54783366206843,111.73562933865378,104.6999121741906,7.035717164463179,0.7981728823251586,0.026436345622172543,0.5707356937259533,0.003085817408694132,0.1546,4378.9,0.0023003765292924387,1
2011-06-07,TITAN,EQ,4368.85,4350.0,4395.0,4350.0,4367.8,4378.9,4380.95,110346,48342062020000.0,11131.0,14061.0,0.1274,0.002297734713875205,0.018970584716799403,0.015114519239815376,0.013937032123018124,0.042186428061849225,0.08841680828339145,67.87194424950198,111.86659287467046,106.13324831428658,5.733344560383884,0.7916933013268438,0.025770496830580414,0.3600357862768255,-0.0004679350369212573,0.1274,4421.25,0.009671378656740361,1
2011-06-08,TITAN,EQ,4378.9,4378.0,4433.95,4369.95,4419.0,4421.25,4408.64,208313,91837801010000.0,18383.0,40461.0,0.1942,0.00962491024303079,0.018614814631317807,0.015068278650779556,0.022005036921629452,0.04631349765119329,0.09400161727895297,67.84877080062651,114.07271424477221,107.72114150038371,6.3515727443885055,0.8336659899080253,0.025626236923946843,0.6754703637633032,0.0028602925165129543,0.1942,4526.8,0.023873338987842847,1
2011-06-09,TITAN,EQ,4421.25,4425.0,4575.0,4421.3,4575.0,4526.8,4485.1,326174,146292219800000.0,30246.0,68365.0,0.2096,0.02359282657209628,0.01653414324055589,0.015435049292658687,0.039231756395334015,0.0638090370187592,0.11471481173489266,70.95460468078451,122.92112598209133,110.76113839672524,12.159987585366082,0.9704433714278353,0.026003073757558157,1.0347073324469722,0.009297451561838045,0.2096,4606.2,0.01753998409472467,1
2011-06-10,TITAN,EQ,4526.8,4530.0,4624.9,4520.0,4580.0,4606.2,4569.76,403838,184544439880000.0,40771.0,60065.0,0.1487,0.017387933970121117,0.015423855699340043,0.015580010174980796,0.04718374139367582,0.07453411077765018,0.12861761860751392,70.9435602043217,134.7867348819036,115.56625769376092,19.220477188142695,1.0359700917289034,0.024900444742179784,1.2517076468327926,0.007974160568607454,0.1487,4714.6,0.02353349832834018,1
2011-06-13,TITAN,EQ,4606.2,4608.1,4734.0,4559.9,4734.0,4714.6,4647.54,489674,227578170605000.03,46771.0,72902.0,0.1489,0.023260854775939477,0.01385682859423777,0.01595897768002199,0.06236726324269221,0.09104646944781786,0.15027782237227663,72.36801321403914,151.19441439164984,122.69188903333871,28.502525358311132,1.0986589973370733,0.025643744962457037,1.4556983568641677,0.014429138856255224,0.1489,4559.65,-0.03286599075213183,0
2011-06-14,TITAN,EQ,4714.6,4730.0,4754.95,4531.55,4560.0,4559.65,4623.16,756182,349594811195000.0,67277.0,143168.0,0.1893,-0.0334182106611491,0.01856860437640234,0.018005599196978417,0.023951295700983005,0.04983169169418067,0.10842599691853352,60.0246060583888,149.96573692046422,128.1466586107638,21.819078309700416,0.827372303670674,0.028057448018409925,2.146711736762869,-0.01373735713235108,0.1893,4477.35,-0.01804963100237941,0
