Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,WIPRO,EQ,446.4,445.1,450.9,445.1,448.4,448.3,448.07,446583,20009981325000.0,9109.0,200055.0,0.4479999999999999,0.004247240094292607,0.010113053577834291,0.012221872071469396,0.014448479911295269,0.018267718323935467,-0.0051109291327399,63.111887957418446,-1.3879734476860222,-2.761152827379623,1.373179379693601,0.9327408072834846,0.02114336700551289,0.5594697938702456,0.0005133126520410164,0.4479999999999999,442.95,-0.0119339727860808,0
2011-06-02,WIPRO,EQ,448.3,445.0,447.45,441.3,442.0,442.95,443.49,619349,27467202560000.004,9419.0,314795.0,0.5083,-0.012005754303352467,0.010594001693632005,0.012310018460181114,0.0023080578372139974,0.004923090884341301,-0.0173786114857669,50.375234389258274,-1.2493513123788489,-2.458792524379468,1.2094412120006193,0.6260790190789421,0.02047957686291584,0.8125889498351523,-0.0012176148278428384,0.5083,443.1,0.00033863867253648065,1
2011-06-03,WIPRO,EQ,442.95,439.0,449.9,439.0,443.0,443.1,444.68,545229,24245386975000.0,12583.0,254440.0,0.4667,0.0003385813474026219,0.009981083447017886,0.011216435080592715,0.003612643118424542,0.005189281156954539,-0.017425126064955058,53.09734498655601,-1.1145407925525888,-2.1899421780140926,1.0754013854615039,0.6324225891667712,0.0206902666279782,0.7489244741873702,-0.003553116848070487,0.4667,445.05,0.00440081245768447,1
2011-06-06,WIPRO,EQ,443.1,442.0,446.95,438.0,444.25,445.05,442.88,390150,17279140010000.0,8377.0,156061.0,0.4,0.004391157199496622,0.008442806003234646,0.010720555351693948,0.006889062340923781,0.008594754763375168,-0.013470707805119051,57.49751721847761,-0.8406631397821798,-1.92008637036771,1.0794232305855302,0.7219852531953813,0.020527388575922446,0.5321690132776199,0.0048997471098266255,0.4,440.6,-0.009998876530726859,0
2011-06-07,WIPRO,EQ,445.05,442.5,444.5,439.55,441.0,440.6,441.88,941417,41599493980000.0,13766.0,671914.0,0.7137000000000001,-0.010049201036697712,0.009158549534107416,0.011002721346893308,-0.003336537917774056,-0.0019763405421628806,-0.023376024612874628,43.98699878313809,-0.9714921794659404,-1.7303675321873562,0.7588753527214158,0.44697672897698465,0.019599896245379674,1.2352575286333567,-0.002896714040010801,0.7137000000000001,441.2,0.001361779391738461,1
2011-06-08,WIPRO,EQ,440.6,441.8,443.3,437.6,442.0,441.2,440.86,440868,19435947445000.0,12920.0,237636.0,0.539,0.0013608530111045452,0.008460409068857292,0.010914311449301438,-0.0032419487839869393,-0.0008492328596501161,-0.02140835573536324,48.15668187230561,-1.0150591800219217,-1.5873058617542695,0.5722466817323477,0.4770120953396131,0.019136122263955436,0.5885659855190698,0.0007712198883998888,0.539,438.8,-0.005439709882139568,0
2011-06-09,WIPRO,EQ,441.2,440.5,442.55,435.5,439.0,438.8,437.9,922040,40376507130000.0,26728.0,546128.0,0.5922999999999999,-0.005454558978272204,0.008690476229900103,0.010529048355923578,-0.009536707860730131,-0.006902795066198962,-0.025733253402606574,39.63636350184022,-1.2290782353861118,-1.515660336480638,0.2865821010945262,0.2913399546326067,0.01902917046490427,1.1991442487140815,0.00205526375884913,0.5922999999999999,437.45,-0.003076572470373798,0
2011-06-10,WIPRO,EQ,438.8,437.8,442.0,434.1,438.5,437.45,437.89,718479,31461503055000.0,21845.0,391184.0,0.5445000000000001,-0.003081314848801738,0.006833963014992657,0.009377750143864267,-0.01155762430377448,-0.00938642874126741,-0.027605814137004414,46.31728026956317,-1.490442700581525,-1.5106168093008154,0.020174108719290373,0.2257637562894129,0.01836128210571002,0.9634885500421082,-0.0010048185617392445,0.5445000000000001,435.45,-0.004571951080123443,0
2011-06-13,WIPRO,EQ,437.45,434.45,438.5,432.6,436.0,435.45,435.84,689026,30030525760000.004,13505.0,422458.0,0.6131000000000001,-0.004582434413524941,0.0069200936238473,0.009343201894803121,-0.014662955671712755,-0.013412782925889878,-0.030439458408758426,44.01076699430669,-1.837774487266472,-1.5760483448939469,-0.26172614237252523,0.130807938011402,0.018363597591982,0.9277025841196784,-0.0008948237885462243,0.6131000000000001,436.85,0.0032150648754163146,1
2011-06-14,WIPRO,EQ,435.45,435.5,440.0,435.5,436.55,436.85,438.32,456835,20023843005000.0,10779.0,305750.0,0.6693000000000001,0.0032099076053551216,0.005851828229934402,0.009298856074545638,-0.009354271784114744,-0.010167955362959084,-0.025440933042426707,51.82481730640951,-1.9772763202844317,-1.656293939972044,-0.3209823803123877,0.22260051054128585,0.017176539838780865,0.6290223520590521,-0.0033537141814198998,0.6693000000000001,424.4,-0.02849948494906729,0
2011-06-15,WIPRO,EQ,436.85,437.0,438.45,422.15,425.0,424.4,427.95,2074171,88764705935000.0,28798.0,1532693.0,0.7389,-0.028913480004275644,0.009847494845986049,0.010184594622889568,-0.032342647377361165,-0.036002271436683754,-0.05102846243803405,38.5869564043006,-3.0572019578878553,-1.9364755435552063,-1.120726414332649,-0.23593131454006688,0.019228827251918656,2.6378597300829374,-0.008295361607664474,0.7389,416.05,-0.019674835061262882,0
2011-06-16,WIPRO,EQ,424.4,422.65,423.0,414.75,416.0,416.05,417.26,1129049,47110981015000.0,31259.0,636864.0,0.5640999999999999,-0.019870961393389095,0.01070362442826145,0.010856945301702099,-0.045527019121577375,-0.0520889698971891,-0.06698929409179175,22.457627052032493,-4.534554500649676,-2.4560913349741007,-2.0784631656755757,-0.2531721988331988,0.01927996291654504,1.3627366716800322,-0.002899870584287925,0.5640999999999999,408.85,-0.017305612306213167,0
2011-06-17,WIPRO,EQ,416.05,413.6,418.9,408.0,408.3,408.85,412.33,747507,30821957470000.0,18378.0,370404.0,0.4955,-0.017457104738452627,0.010959979189561608,0.010831334815792511,-0.05461650519111141,-0.06438971366457848,-0.08015901763637881,19.575253873674356,-6.214707581153618,-3.2078145842100048,-3.0068929969436136,-0.21237205089469158,0.020300843830255575,0.8822773329908806,-0.008439841874226861,0.4955,402.3,-0.016020545432310164,0
2011-06-20,WIPRO,EQ,408.85,410.0,412.45,381.45,405.5,402.3,401.19,1829456,73395744895000.0,42680.0,1108941.0,0.6062,-0.016150261652243727,0.01027372228227053,0.010813952368595333,-0.06047478368500329,-0.07538496897264998,-0.09229568191766346,10.695187139085178,-7.982751076350212,-4.162801882638046,-3.8199491937121657,-0.1552852321748641,0.02434217534888673,1.9844307117644375,0.002766768862633699,0.6062,402.4,0.0002485707183692913,1
2011-06-21,WIPRO,EQ,402.3,402.6,405.5,395.5,402.0,402.4,400.94,1005952,40332171560000.0,20326.0,512502.0,0.5095000000000001,0.0002485398297867999,0.010782733659953936,0.010826635951442544,-0.05178203240058916,-0.07115240348548686,-0.08919093265128288,7.734806609891834,-9.269021608753803,-5.184045827861198,-4.084975780892606,-0.03438858658270249,0.025081652939505806,1.0737484789616263,0.003641442609866762,0.5095000000000001,403.8,0.003479125248509031,1
2011-06-22,WIPRO,EQ,402.4,402.6,408.95,401.5,405.0,403.8,404.72,836570,33857713400000.0,15421.0,447626.0,0.5351,0.0034730870932078535,0.011027654191533703,0.01088771723512486,-0.04002282263720336,-0.0644873562153209,-0.08346006310007487,11.12214495417878,-10.059472634326255,-6.159131189154209,-3.900341445172046,0.06038928285727829,0.025074294205051983,0.8984316939749768,-0.00227317651709828,0.5351,409.9,0.015106488360574457,1
