Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,LT,EQ,1642.35,1642.0,1689.0,1641.55,1686.4,1684.95,1672.76,1875422,313712885800000.0,110884.0,835150,0.4453,0.025607746768144337,0.025507582707393457,0.020082637146308126,0.03108649756754273,0.06660125495533283,0.04170144259838328,72.96824203496988,13.320302998894249,-0.7217502202707018,14.04205321916495,0.9396590123462943,0.030022086284883422,0.9794933711706948,0.007287357421267878,0.4453,1672.1,-0.007626339060506328,0
2011-06-02,LT,EQ,1684.95,1665.2,1677.75,1654.25,1674.2,1672.1,1666.21,1433110,238786340525000.0,54940.0,770133,0.5374,-0.007655568287064693,0.02034747553224285,0.020129030410361567,0.01840883136657779,0.05381243638586639,0.031642125499903175,68.6251621021854,16.291174878436323,2.680834799470703,13.61034007896562,0.8435923356568451,0.02900757815236616,0.7460244387280195,0.0035349685813912245,0.5374,1712.75,0.0243107469648945,1
2011-06-03,LT,EQ,1672.1,1681.0,1719.7,1680.5,1714.35,1712.75,1705.57,2771995,472783378735000.06,83507.0,1672339,0.6033,0.024019944414385062,0.01870036295758435,0.020588266772571837,0.03933734848369923,0.07379247326490268,0.05422706429077026,73.63088055414157,21.67586168003254,6.479840175583071,15.196021504449469,0.936913793624895,0.02914902933878268,1.3903174247864183,0.004209736334480592,0.6033,1727.8,0.008787038388556389,1
2011-06-06,LT,EQ,1712.75,1700.0,1736.05,1699.1,1726.0,1727.8,1719.47,1231355,211727439475000.0,59907.0,478964,0.389,0.00874865704177537,0.015927603061551464,0.020597673253999957,0.04118520839673268,0.07725256329123788,0.06091577208056286,76.56903763127396,26.848184824530563,10.55350910537257,16.294675719157993,0.9263696555606824,0.02887238933077574,0.6128195852233287,0.004844516042734056,0.389,1705.6,-0.01284870934135898,0
2011-06-07,LT,EQ,1727.8,1721.45,1726.4,1697.5,1706.0,1705.6,1708.21,1245656,212783621300000.0,51705.0,617338,0.4956,-0.012931967953258391,0.016483975981557465,0.020863082814301347,0.02391393744015501,0.058013650088162665,0.045283782044603434,72.61958995406208,28.823672361393392,14.207541756576735,14.616130604816657,0.8138360690028497,0.029516215491825266,0.6111238027637508,-0.0015279151860720446,0.4956,1702.7,-0.001700281425891102,0
2011-06-08,LT,EQ,1705.6,1702.8,1717.0,1693.55,1701.15,1702.7,1706.08,715768,122115583520000.0,34160.0,293982,0.4107,-0.0017017285449270616,0.013702091058185551,0.020517673084648788,0.016182407935139215,0.05034914994941651,0.04217417596811352,65.23089956465947,29.811605077039303,17.32835442066925,12.483250656370053,0.7757385431082436,0.024865969175007777,0.35266883900937923,-0.0019811497702334484,0.4107,1725.95,0.013654783579021553,1
2011-06-09,LT,EQ,1702.7,1699.8,1733.7,1693.0,1731.0,1725.95,1719.44,1294255,222539090400000.0,49562.0,565336,0.4368,0.013562397083384572,0.012992957399899802,0.02004461265302357,0.024700996529808332,0.05736331529147253,0.05527321729475398,61.519224730813725,32.100593898960824,20.282802316327565,11.817791582633259,0.8256749561673423,0.023105287771123993,0.6437166386467991,0.0037861164099939463,0.4368,1694.05,-0.018482574813870674,0
2011-06-10,LT,EQ,1725.95,1720.05,1730.9,1678.05,1694.0,1694.05,1707.14,1427565,243705622780000.03,57388.0,608150,0.426,-0.01865551179496315,0.015006362736056286,0.020650408822970215,0.0024439026699488034,0.03258426452638299,0.03517220687434271,63.066816187055416,30.983413130962617,22.422924479254576,8.560488651708042,0.6943690948235166,0.023991533392082393,0.7149827594328253,-0.0076677952599084696,0.426,1707.9,0.008175673681414444,1
2011-06-13,LT,EQ,1694.05,1689.9,1712.9,1676.65,1712.0,1707.9,1697.33,877116,148875147290000.0,46695.0,293390,0.3345,0.008142433910126196,0.014803296645298995,0.020436325604779457,0.006058499718722945,0.03499995454944875,0.04298217544133935,61.05103072474775,30.859885029186444,24.11031658924095,6.749568439945495,0.7264891005236448,0.023155002383879963,0.44092742271462493,0.00622742778363675,0.3345,1727.45,0.011446806019087742,1
2011-06-14,LT,EQ,1707.9,1710.15,1733.7,1710.15,1727.0,1727.45,1727.72,788672,136260241315000.02,39295.0,434257,0.5506000000000001,0.011381787037748262,0.014946553365443135,0.02021899413218747,0.012499084181991381,0.03985577038838475,0.053948470647524414,72.15714539519914,31.97096831093836,25.682446933580433,6.288521377357927,0.7949861143502225,0.021487080461291018,0.4006733400341496,-0.00015627532239019157,0.5506000000000001,1717.9,-0.005528379982054447,0
2011-06-15,LT,EQ,1727.45,1728.6,1731.3,1708.6,1719.2,1717.9,1718.38,626296,107621399009999.98,37302.0,330314,0.5274,-0.0055437180304942985,0.013346963775318677,0.02037089112067217,0.004960746920007967,0.027584288649557354,0.04721648529300612,65.71202840529457,31.71531027457945,26.889019601780237,4.826290672799214,0.7611779275091957,0.02030094883287737,0.32227678812980415,-0.0002793328600193311,0.5274,1678.1,-0.023167821177018558,0
2011-06-16,LT,EQ,1717.9,1700.0,1708.45,1672.35,1676.85,1678.1,1692.67,1022026,172994868580000.0,45165.0,513636,0.5025999999999999,-0.02344041362528386,0.01538521028797065,0.017699370458501958,-0.018666448345633427,0.0012843481075631223,0.0230944629378985,56.79412766148453,27.978651581995337,27.106945997823257,0.87170558417208,0.5133665453869085,0.021146364510883937,0.6493831572911141,-0.008607702623665666,0.5025999999999999,1679.9,0.0010726416780884227,1
