Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Log_Return,Vol_10D,Vol_20D,Dist_SMA_10,Dist_SMA_20,Dist_SMA_50,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Pband,ATR_14,Volume_Ratio_20,VWAP_Dist,Deliverable_Pct,Tomorrow_Close,Tomorrow_Return,Target
2011-06-01,MARUTI,EQ,1230.15,1220.0,1255.0,1220.0,1255.0,1250.1,1242.16,444037,55156493070000.01,16622.0,154557.0,0.3481,0.01608743494598747,0.010930718765862291,0.011596967630561755,0.027058780033931265,0.020160846094524565,0.004049610540231794,60.26578067483579,-8.40751938234871,-11.680809883054739,3.273290500706029,0.8248903537829924,0.022246791685236605,1.9409612290330516,0.006392091195981054,0.3481,1225.4,-0.01975841932645374,0
2011-06-02,MARUTI,EQ,1250.1,1231.0,1245.85,1220.0,1230.0,1225.4,1230.73,230627,28383904950000.0,11191.0,41456.0,0.1798,-0.01995622680496311,0.0129908433303847,0.012297538454713205,0.005637940797518419,0.001166284373219177,-0.017323147837774007,50.85780746077296,-7.740512469632677,-10.892750400370327,3.15223793073765,0.5200553341077581,0.02316736226071952,1.0397846914813218,-0.004330763043071939,0.1798,1233.9,0.006936510527174799,1
2011-06-03,MARUTI,EQ,1225.4,1230.0,1244.9,1218.55,1235.0,1233.9,1231.58,219802,27070270025000.0,7664.0,56449.0,0.2568,0.0069125636129339085,0.012837246395659892,0.011822768800880202,0.011725155788783357,0.009744331491396434,-0.011488967274748942,50.98607884490692,-6.451655059731593,-10.004531332242582,3.5528762725109893,0.7167644989007268,0.02250413902492677,1.0530723513530489,0.0018837590737103265,0.2568,1232.0,-0.0015398330496799505,0
2011-06-06,MARUTI,EQ,1233.9,1228.0,1238.9,1210.0,1231.1,1232.0,1223.45,186588,22828019385000.0,8961.0,13265.0,0.0711,-0.0015410198110230987,0.011461939338720317,0.010779730540175662,0.007832791377794177,0.00874670181996092,-0.013896692872041953,57.15214559166906,-5.519910307703867,-9.10760712733484,3.587696819630972,0.7083449139706196,0.022735969387755108,0.8870479110365466,0.006988434345498349,0.0711,1240.0,0.006493506493506494,1
2011-06-07,MARUTI,EQ,1232.0,1210.95,1245.0,1210.95,1245.0,1240.0,1228.05,278512,34202642310000.004,12463.0,38375.0,0.1378,0.00647251450561752,0.01151486488861939,0.010874220290723623,0.011439874385693095,0.015371828754265718,-0.008649532826092312,57.53865974191105,-4.08882925916123,-8.103851553700117,4.015022294538888,0.8703423815698914,0.022079493087557602,1.295770178889938,0.00973087415007536,0.1378,1223.9,-0.012983870967741862,0
2011-06-08,MARUTI,EQ,1240.0,1225.0,1236.05,1218.0,1223.1,1223.9,1225.77,187917,23034391295000.0,7636.0,29350.0,0.1562,-0.013068898210789734,0.01248246662393234,0.01071426559823979,-0.0035740745263739613,0.002145290187344336,-0.02217151586184947,53.64974462294407,-4.205346052933464,-7.324150453546787,3.118804400613323,0.5516494615339405,0.022650076453491756,0.9079298005222947,-0.0015255716814735968,0.1562,1215.05,-0.007230982923441568,0
2011-06-09,MARUTI,EQ,1223.9,1215.0,1222.7,1210.0,1213.0,1215.05,1215.17,168516,20477506180000.0,7848.0,25600.0,0.1519,-0.007257253197000759,0.012230949263166122,0.01081982012062255,-0.010759078863274554,-0.004932139574022047,-0.029449213127377482,47.51296913853024,-4.954692873661543,-6.8502589375697385,1.8955660639081957,0.38192313476747164,0.02182155937145444,0.8183749248477376,-9.875161500046762e-05,0.1519,1226.65,0.009546932225011429,1
2011-06-10,MARUTI,EQ,1215.05,1205.15,1241.0,1191.05,1213.3,1226.65,1216.18,577994,70294233804999.99,28249.0,74594.0,0.1291,0.00950164825474964,0.012505235342064132,0.011020290140492602,-0.0017171782935643469,0.004394970041738962,-0.02000651917564378,57.33974353828488,-4.559968099318667,-6.3922007699195245,1.8322326706008578,0.6047557506137605,0.023172869196592345,2.5408077522694397,0.008608923021263322,0.1291,1224.95,-0.0013858883952227981,0
2011-06-13,MARUTI,EQ,1226.65,1220.0,1236.4,1208.15,1222.5,1224.95,1224.53,408847,50064583830000.0,17637.0,86800.0,0.2123,-0.0013868496267538672,0.012070272609151552,0.010920523144186527,-0.004275692767901408,0.0032309450002253586,-0.020675385809686756,56.51481358450416,-4.334357884670226,-5.980632192869665,1.6462743081994393,0.5779115031151968,0.02308549036986933,1.7262476648406886,0.0003429887385364775,0.2123,1222.45,-0.0020408996285562675,0
2011-06-14,MARUTI,EQ,1224.95,1215.0,1228.9,1208.2,1219.95,1222.45,1220.89,290861,35511072440000.0,11173.0,88695.0,0.3049,-0.0020429851021811786,0.010878152842552826,0.010217649846717568,-0.005685515356585119,0.0006732821584320842,-0.022053300075118982,56.968529171640384,-4.307633552570451,-5.646032464809823,1.3383989122393718,0.5165930374216942,0.02337226763583671,1.1865354027805453,0.0012777563908295958,0.3049,1210.0,-0.010184465622315878,0
2011-06-15,MARUTI,EQ,1222.45,1214.2,1223.9,1205.1,1208.0,1210.0,1214.95,175755,21353441120000.0,8110.0,31464.0,0.179,-0.01023668212631991,0.009478852866249061,0.010419026180385692,-0.012591498494406097,-0.009250407865405543,-0.031065947573460873,48.27473953933294,-5.230768237648363,-5.562979619377531,0.3322113817291683,0.27618032694688915,0.02240554899645811,0.7424418820777836,-0.004074241738343179,0.179,1193.15,-0.013925619834710669,0
2011-06-16,MARUTI,EQ,1210.0,1196.0,1200.0,1183.9,1188.0,1193.15,1190.73,354302,42187860115000.0,14827.0,148791.0,0.42,-0.014023490951561253,0.008447291878488396,0.01084043077602292,-0.0237726077049268,-0.02230270799574716,-0.042915779957662374,41.29838460358567,-7.2385715580069245,-5.89809800710341,-1.3404735509035142,0.013015130463336626,0.022727953017522663,1.4222590106503668,0.0020323666994197446,0.42,1165.0,-0.023593010099317007,0
2011-06-17,MARUTI,EQ,1193.15,1224.0,1232.0,1161.3,1162.1,1165.0,1188.78,1075331,127833114320000.0,43182.0,243860.0,0.2268,-0.02387578163942456,0.010030287648012512,0.011714872085855045,-0.04140078909583116,-0.04308774638950434,-0.06330453296283604,37.441282093165064,-10.97473003910818,-6.913424413504364,-4.061305625603817,-0.20377445924931445,0.02644696505211529,3.5992921451134783,-0.020003701273574568,0.2268,1160.75,-0.003648068669527897,0
